Commentaire;Pseudo;Catégorie;;Traduction FR
Jesteś ohydna!...;kubikubek93;Grossophobie, Antisémitisme, Violence;🔴;Tu es horrible ! Laide, grosse, et en plus tu es juive. J'espère que tu brûleras en enfer bientôt. Je te frapperais volontiers.
Sad;kustom_kolorz;Dénigrement;🆗;Triste
Queen 👸 ❤;la_ptiteboucle;Soutien;🆗;N/A
Queeeen!!! ♥️👑♥️👑;labeshibesh;Soutiens;🆗;—
Une reine, une déesse ! ♥️♥️♥️;lady_petronille;Soutien;🆗;-
QUEEN 🙌🙌🙌;laetitialopez.75;Soutien;🆗;Reine.
You are absolutely beautiful We love you and support you 💕🌈💕🌈💕🌈💕🌈;lamiraba;Soutien;🆗;"""Tu es absolument magnifique. Nous t’aimons et te soutenons."""
❤️❤️❤️🔥;lara_jcb;Soutien;🆗;N/A
❤️❤️❤️❤️;laulacausette;Soutien;🆗;N/A
Tout simplement sublime !...;laur_ctt;Soutien;🆗;-
Merci pour la joie ! ❤️;laurainroma;Soutien;🆗;N/A
Yeshua will save you if u ask and repent 💔♥️💔♥️;laurenablakestad;Discrimination (religion);🔴;Yeshua vous sauvera si vous demandez et vous repentez 💔♥️💔♥️
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️;laurence_audy;Soutien;🆗;
Vous êtes incroyable et magnifique ❤️;lauriane.bgt;Soutiens;🆗;—
Even so, Jesus love you and has mercy ♥️🙏;lauribaes;Religion, Soutien;🆗;Même ainsi, Jésus t'aime et te fait miséricorde.
Jesus Christ is King and he loves you ❤️;lauriii_pa;Religion;🆗;Jésus-Christ est roi et il t'aime.
❤️ Juste magnifique ! Merci 💪🏼👍;lautom01;Soutien;🆗;N/A
Merci à vous la 🔥 👑 Total soutien contre la bande de cons qui vous menace;laval_insoumise;Soutien;🆗;N/A
Omg ! Reine !;lay_dawn_and_watch_;Soutiens;🆗;"""Oh mon dieu ! Reine !"""
Absolutely disgusting!;lcs.cf;Insulte;🆗;Absolument dégoûtant !
😢;lcsbye95;🆗;—;—
♥️;lea_rsgwi;Soutiens;🆗;—
Bravo et soutien 🔥🔥;leafromthewood;Soutiens;🆗;—
Thank you for the discord. The last thing we need right now in this crazy world.;lejitm3;Dénigrement;🆗;Merci pour la discorde. C'est la dernière chose dont nous avons besoin dans ce monde fou.
Um dia gritarás no mar mais profundo com as cornadas de satanás.;lena.contins;Religion, Haine;🔴;
Metam-se com os judeus e terão a respista.;lena.contins;🆗;🔴;"""Si tu t'associes avec les Juifs, tu auras la réponse."""
Tout notre soutien, love You...;lenastudioo;Soutien;🆗;Tout notre soutien, on t'aime. Tu es la reine.
❤️❤️❤️❤️❤️;lennyandthewhiterabbit;Soutiens;🆗;—
Elephant;leonardoksmendes;Grossophobie;🔴;"""Éléphant"""
♥️♥️ je veux un t-shirt avec cette superbe photo!! 👑♥️;letiduhabar;Soutien;🆗;
Bravo les lesbiennes !!!!;letrombone__;Harcèlement, Homophobie;🔴;
ICÔNE🔥🔥🔥🔥🔥;letsgetflashy;Soutiens;🆗;ICON
Jesus is the truth, the way, and the life. Repent silly, wicked woman.;libertylioness;Religion, Harcèlement;🔴;"""Jésus est la vérité, le chemin, et la vie. Repens-toi, femme stupide et méchante."""
❤️❤️❤️❤️❤️❤️❤️;librairie_chez_simone;Soutien;🆗;-
CHRIST IS KING!!;lifestylecsmiley122_;Religion;🆗;"""LE CHRIST EST ROI !!"""
😂 sick;liisabellez;Insulte;🆗;Malade
Magnifique! C’était magnifique! Vous êtes magnifique. Soutien total.;lili_in_the_sky_with_diamonds;Soutiens;🆗;
Vraiment cette cérémonie d'ouverture était grandiose et je connais des gens qui n'y sont pas pour rien 😍;lillyswanfeather;Soutien;🆗;N/A
Do you love Christians as well? Just wondering because you talk about being all about love. That doesn’t align with your display at the Olympics. It is a mockery of Jesus.;lilyx4kids;Critique, Religion;🆗;"""Aimes-tu aussi les chrétiens ? Je me demande, car tu parles d'amour. Cela ne correspond pas à ta représentation aux JO. C'est une moquerie de Jésus."""
♥️;lina_corsica;Soutien;🆗;N/A
Essa Thais Carla da shopee aí foi longe de mais;lincoln_oliveira1;Grossophobie;🆗;Cette Thaís Carla version Shopee (version bas de gamme) est allée trop loin.
Bravo♥️♥️♥️♥️👑;line.b19;Soutien;🆗;N/A
Queeeen ♥️🌸♥️🌸♥️🌸♥️🦋;liora.berliner;Soutien;🆗;Reine.
How dare you mock Jesus? @barbarabutch lucky for you IG doesn’t respect freedom of speech. You’re full of something brown that smells like everything rotten. I hope everyone makes an example out of you.;lisa_villavicencio;Religion, Insulte;🔴;"""Comment oses-tu te moquer de Jésus ? Tu as de la chance qu'Instagram ne respecte pas la liberté d'expression. Tu es pleine de quelque chose de brun qui sent tout ce qui est pourri. J'espère que tout le monde prendra exemple sur toi."""
Magique❤️🔥;lisbethvonramelot;Soutien;🆗;
❤️❤️❤️;litlwonderland;Soutiens;🆗;—
Essa representou o Mundo...;ljsoares;Grossophobie;🆗;Elle représente le monde, elle est de la taille de la planète Terre.
Well, if that really is your aim, you missed the target - by an embarrassingly wide margin.;lnsparklin;Critique;🆗;"""Si c'est vraiment ton objectif, tu as raté la cible - de manière embarrassante."""
❤️❤️❤️❤️❤️;lodysseedabby;Soutiens;🆗;—
Disgraziata.;lolacola1111;Harcèlement;🔴;
Vous avez été sublime et vous pouvez être fière ❤️ un des principe de la république française est l’éducation. On voit à travers les commentaires des haineux ce que ça donne quand on n’en fait l’impasse…;lossemornaslamoria;Soutien;🆗;N/A
Magnifique, quelle fierté poulala ❤️❤️❤️ bravo bravo bravo !;lou_howard;Soutien;🆗;N/A
❤️❤️❤️;lou_vy;Soutien;🆗;
Désastreux;louis_desjo;Insulte;🆗;Désastreux.
Bravo ! De tout cœur avec vous! Merci d’exister vous êtes une bouffée d’oxygène;louise_pte;Soutien;🆗;
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️;louissamperez;Soutiens;🆗;
❤️❤️❤️ Trop belle 😍;lounat64;Soutiens;🆗;❤️❤️❤️ So beautiful 😍
😂😂😂;luca_25pinto;Soutiens;🆗;😂😂😂
❤️❤️❤️❤️❤️❤️❤️❤️❤️;lucas.litzelmann;Soutien;🆗;
VIVE CHRIST ROI DE I'UNIVERS!;lucass_edgar;Religion;🆗;"""Vive le Christ Roi de l'Univers !"""
Chuparia até os ossos 😍♥️;lucianotoker;Harcèlement, Vulgarité;🔴;"""Je te lécherais jusqu'aux os."""
Ridícul4,f2i4;luciaportelamiranda;Harcèlement;🔴;"""Ridicule"" (écrit de manière déformée)."
🔥🔥🔥 you killed it! What a GREAT moment ❤️❤️❤️;lucievalnue;Soutien;🆗;N/A
Trop belle 🔥;lucile.fery;Soutien;🆗;
huge tendres radicales douces pensées fuerza&care à toi <3;lucille.calmel;Soutien;🆗;N/A
🤍;lucille__d;🆗;—;—
Merci merci merci <3;lucy_chenu_;Soutien;🆗;
you belong to the ocean! Whaleeeee;luis.kph;Grossophobie;🆗;Tu appartiens à l'océan ! Baleineeee.
❤️❤️❤️❤️;luisa.fresno;Soutien;🆗;
Tu étais formidable...;luisochoahubert;Soutien;🆗;-
they aimed at the holy supper and hit Noah's ark;luizbassfeld;Discrimination (religion);🔴;Ils ont visé la sainte cène et ont frappé l'arche de Noé
Bonjour, d'accord, je suis contre les propos qu'il y a eus et les menaces, c'est totalement honteux. Le problème, c'est que vous avez manqué de respect à moi catholique et à tous mes frères et peut-être ce n'était pas votre objectif, mais on l'a quand même très mal pris et non ça ne représentait pas la fête des dieux, mais bien la Cène, car tous les médias le confirment et le tableau du festin des dieux est aussi une reprise du tableau de la Cène de Léonard de Vinci. Bonne continuation et bon courage pour les messages totalement;lukas411;Critique, Religion;🆗;N/A
Did you know Christianity is...;lukemccaleb;Religion;🆗;Tu as moqué la religion de l'amour, n'est-ce pas de la haine ?
C'est en voyant tous ces commentaires que je m'aperçois que le monde va vraiment mal. Normal qu'il y est des guerres avec toutes ces personnes haineuses et harcelantes. Notre cérémonie était belle et grandiose et c'est une première de voir ça à l'extérieur d'un stade n'en déplait à certains ! J'espère que certains seront punis pour leurs propos. Vive la France et la Diversité.;lulu_mzr;Soutiens;🆗;—
Tu mérite amplement d'être couronnés 👑❤️👏;lulublue_kremdr;Soutien;🆗;N/A
👑 ❤️;luroyan;Soutien;🆗;
👏♥️;lxxn_tz;Soutien;🆗;
WE LOVE YOU;ly.as;Soutien;🆗;Nous t'aimons.
MAGNIFIQUE ❤️;lynn_melanie_beguelin;Soutiens;🆗;MAGNIFICENT ❤️
Quel horreur cette cérémonie.. vos personnages ragoûtant;lysa_adg;Critique;🆗;N/A
😡🤬👿😈;lysvillanuevaluciano;Insulte;🆗;-
👑VIVA CRISTO 👑🔥♥️🇲🇽;lysvillanuevaluciano;Religion;🆗;Vive le Christ.
Espero que vc se arrependa, caso contrário o preço será alto! E seus amigos e os que pagaram por isso não poderão te ajudar;m.gravi94;Menace, Religion;🔴;
T’ES INCROYABLE N’EN DOUTE PAS ❤️👑👑;maanonrch;Soutien;🆗;"""Tu es incroyable, n’en doute pas."""
Majestueuse 🔥👑♥️;madame_lenoir;Soutien;🆗;
Quand je t'ai vu apparaître sur ce tableau j'étais trop contente. Mon tableau préféré de l'ouverture des JO avec toutes ces personnes qui ont un énorme ❤️, un professionnalisme sans faille. Bref j'étais aux anges. Quand je vois la 🌊 de haine que tu reçois, la seule chose que je peux faire c'est t'envoyer mon soutien et aussi remballer les cyber harceleurs. Courage 💪❤️;madame_moutarde_;Soutien;🆗;
Jesus is king 👑;madelineepricee;Religion;🆗;Jésus est roi 👑
Désolée pour toute la haine déversé par tous ces horribles frustrés… Bravooooo à toi ❤️;mademoiselleely;Soutien;🆗;N/A
Magnifique 🔥;mag.lg;Soutien;🆗;N/A
🫶;magali.motyka;Soutien;🆗;
♥️;magpiepants;Soutien;🆗;N/A
Awwwww such a strong, powerful and beautiful queen 👑🔥;maiwn.ep;Soutiens;🆗;Awwwww such a strong, powerful and beautiful queen 👑🔥
❤️ Tu nous manques tellement à Montpellier.. Please Come back!!! Love Majid;majidididar;Soutiens;🆗;"""Tu nous manques tellement à Montpellier... S'il te plaît, reviens ! Amour Majid"""
How many years left? 😭;malkaviamfrank;Âgisme;🆗;"""Combien d'années te reste-t-il ?"""
Cow;mantonio6227;Grossophobie;🔴;Vache
😍😍😍❤️❤️❤️;manueellanut;Soutien;🆗;N/A
Superbe bravo a vous;marc75013;Soutiens;🆗;—
♥️;marelune.girltrotter;Soutiens;🆗;♥️
Que Dios tenga misericordia de ti, y de todos los demás que han blasfemado contra nuestro Señor Jesucristo, o estás con Dios o estás con el demonio , ya dejáis muy claro con quién estáis . VADE RETRO SATANA ✝️✝️✝️✝️✝️✝️✝️✝️✝️✝️✝️✝️✝️✝️✝️✝️✝️✝️✝️✝️✝️✝️;margafemenias;Harcèlement, Religion;🔴;"""Que Dieu ait pitié de toi et de tous ceux qui ont blasphémé contre notre Seigneur Jésus-Christ. Ou tu es avec Dieu ou tu es avec le démon. Vous montrez clairement avec qui vous êtes. Arrière Satan !"""
VIVA CRISTO REY ✝️✝️✝️👑👑👑;margafemenias;Religion;🆗;"""Vive le Christ Roi."""
🔥🔥🔥❤️;margaux_bbin;Soutien;🆗;Feu et cœur (soutien).
The ceremony was very bad;margretnashat;Harcèlement;🔴;
Jesus is our Lord;margretnashat;Religion;🆗;
👏👏on veut le set!! 👑🔥;maria_oct22;Soutien;🆗;
The magic that was the ceremony✨ Thank you for the courage 💗;mariaheisterberg;Soutien;🆗;"""La magie de la cérémonie. Merci pour ton courage."""
DISGUSTINGGGGG;mariamashraf_aziz;Harcèlement;🔴;
Christ is LORD!;mariamashraf_aziz;Religion;🆗;
❤️❤️❤️❤️❤️❤️❤️;mariamsaaidi;Soutien;🆗;N/A
Magnifique !!! Mille merci 👏👏👏♥️♥️♥️♥️♥️;marieameliepoisson;Soutien;🆗;
🖤🖤🖤🖤🖤🖤🖤;mariebrignot;Soutien;🆗;
🔥❤️👏;marieeva;Soutien;🆗;
Vous êtes magnifique laissez ces gens amers déverser leur méchanceté ils sont jaloux de votre charisme 🤩🤩🤩😍😍😍❤️❤️;mariefruquiere;Soutien;🆗;
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️;marieherreros;Soutien;🆗;Cœurs (soutien).
❤️🥰❤️🔥🔥🔥;marieplaneille;Soutien;🆗;
🔥🔥🔥;mariesylvielili;Soutien;🆗;N/A
🔥♥️;mariiiiie;Soutiens;🆗;🔥♥️
😍😍😍;marina_decoration;Soutiens;🆗;😍😍😍
👎🏻;marinasavelyeva;Insulte;🆗;Pouce en bas (désapprobation).
🔥🔥🔥👑👑💚💚💚💚💚;marine_guerin_nosicaa;Soutien;🆗;-
Tu es fabuleuse ! ❤️👑;marinegab_;Soutien;🆗;Tu es fabuleuse.
Vous étiez magnifique ! Merci😍;marinette.75;Soutien;🆗;N/A
You are the best❤️;marinuch999;Soutien;🆗;Tu es la meilleure.
Ridiculous;mario_nese68;Insulte;🆗;Ridicule.
❤️🔥❤️;marionccz;Soutien;🆗;-
♥️♥️♥️;marionmeneghel;Soutien;🆗;
@barbarabutch they used you because of how you look .. and you used them for fame!!;marriobouless;Critique;🆗;"""@barbarabutch, ils t'ont utilisé à cause de ton apparence... et tu les as utilisés pour la gloire !!"""
“Oh god, forgive them as they are not aware of what they are doing..!” BUT .. if you knew, if any of you was aware of Jesus yet, took part!!! YOU R IN A DAMN TROUBLE!!;marriobouless;Intimidation, Religion;🔴;"""Oh Dieu, pardonne-leur car ils ne sont pas conscients de ce qu'ils font... MAIS... si vous saviez, si l'un d'entre vous était conscient de Jésus, vous êtes dans de beaux draps !!"""
I prayed;marriobouless;Soutien;🆗;"""J'ai prié."""
Reine 👸;marta.xena;Soutien;🆗;Reine.
🚯;martin_mcmxci;Insulte;🆗;- (symbole de déchet)
Big whale strikes again 🤣🤣🤣;martzzzy;Grossophobie;🔴;"""La grosse baleine frappe à nouveau."""
🐄🐄🐄🐄🐄🐄🐄🐄;marwin_chester;Grossophobie;🆗;Émojis de vache (grossophobie).
💖😍💖;marycherrybakes;Soutien;🆗;N/A
Tain je suis affligée par le nombre de coms immoraux et haineux au nom quoi, on sait pas. Deux fils qui se touchent. Tain c'est quand même dur de supporter le vide cérébral. Courage ! T'inquiète c'est comme ça qu'ils carburent, à la haine, aux coms, le manque de neurones rend violent , donc pas étonnant ! Bravo, t'es magnifique ♥️;marystormerphillips;Soutien, Critique;🆗;N/A
❤️❤️❤️🔥🔥🔥;mathe.madeleine;Soutien;🆗;N/A
🤍🤍🤍;mathieucenac;Soutien;🆗;-
Incroyaaable cette cérémonie, merci à toi ♥️🔥;mathildaquere;Soutien;🆗;N/A
🫶🏻;matthieu_d78;Soutiens;🆗;🫶🏻
❤️❤️❤️❤️;maude.hy;Soutien;🆗;-
🔥🔥🔥;maureenleyen;Soutiens;🆗;🔥🔥🔥
Ridicula;mauricioscarabelot;Insulte;🆗;Ridicule.
Que asc0 a seb0rrea;maxberiguete;Insulte, Vulgarité;🆗;C'est écœurant, séborrhée (référence à une maladie de la peau).
Esse tipo de pessoa do3nte...;may.gomes12;Psychophobie;🔴;Ce genre de personne malade devrait être interdite en public.
Vocês querem tanto respeito e não são capazes de respeitarem a religião alheia. Isso é simplesmente ridículo;mayarasouzas;Religion, Harcèlement;🆗;"""Vous voulez tellement de respect et vous n’êtes pas capables de respecter la religion des autres. C’est tout simplement ridicule."""
You were in the wrong event...;maysolotravelgram;Grossophobie;🆗;Tu étais à la mauvaise compétition, tu devrais être à celle des hot-dogs.
😍👏;mazaard_ah_fans_galerie;Soutien;🆗;N/A
Jesus Christ above all 👑;mbarbs4;Religion;🆗;"""Jésus-Christ au-dessus de tout."""
Ce qui est fou c’est que 1) ce n’est pas la Cène représenté 2) même si ça l’était, cela n’est en aucun cas moqué… c’est un hommage à un tableau les gars… sans rappeler que c’était déjà une polémique quand Leonard de Vinci l’avait peint.;mcm_travel;Soutien;🆗;
Fabuleuse apparition aux JO! 👏Bravo et encore 💖;meg_isako;Soutien;🆗;N/A
Vous étiez magnifique et rayonnante!!! Et quelle playlist!!!! Bravo pour le superbe travail 👑;mel.seide;Soutien;🆗;
♥️♥️♥️;meli_melosursonbateau;Soutien;🆗;N/A
👸🔥🙌;melo_brakita;Soutien;🆗;N/A
Juste splendide ♥️;melodiemelodie76;Soutien;🆗;
The #FatBall;memojimilb;Grossophobie;🆗;La grosse boule.
❤️❤️❤️❤️😍;meryllac;Soutien;🆗;-
Thought I was watching a MacDonald ad;metuseugena;Grossophobie, Harcèlement;🔴;"""Je croyais regarder une pub McDonald’s."""
Soutien ♥️;mi.dliiiiiin;Soutien;🆗;-
👑👑👑❤️❤️❤️😍😍😍😍 merci pour Gala pendant le passage de @pichecometrue c'était divin!!!! Moi ça m'a fait trop de bien dans mon coeur Merci merci merci;mi.dliiiiiin;Soutiens;🆗;
♥️;mia____mai;🆗;—;—
❤️❤️❤️❤️❤️❤️;micka18200;Soutien;🆗;-
Si belle, si rayonnante ♥️👑;miedreams;Soutiens;🆗;—
No to co odwaliliście na otwarciu...;mieszko_mefis;Insulte, Xénophobie;🔴;Ce que vous avez fait à l'ouverture est un tel désastre et insulte que je n'ai jamais vu pire. Vous et vos valeurs dégoûtantes.
You are beautiful, you are respected and you are loved. A hug, I am sorry for the hatred, you do not deserve this. Take care of yourself.;migrating_soul;Soutiens;🆗;"""Tu es belle, tu es respectée et tu es aimée. Un câlin, je suis désolé pour toute la haine, tu ne mérites pas cela. Prends soin de toi."""
No hiciste nada, solo estuviste parada y asi la cagast, como es posible que la gente acceda a hacer esto, que ridiculos, la fe no es un juego.;miguel_alex_;Religion, Dénigrement;🆗;Tu n'as rien fait, tu es juste restée là sans rien faire, comment est-il possible que les gens acceptent ça, c'est ridicule, la foi n'est pas un jeu.
Con Jesús no se juega😡;miguel_amarilla_29;Intimidation, Religion;🔴;"""On ne joue pas avec Jésus."""
Beyond gross thing;miher720;🆗;🔴;"""Au-delà du dégoûtant"""
You will reap what you sow in Paris..;miikz0627;Menace;🔴;"""Tu récolteras ce que tu as semé à Paris"""
May Jesus Christ forgive you. And may you pls start doing someone for your body. Idk how old you are but it's highly likely you will die at a young age because of obesity. Never make obesity ok it is not;mika.egt;Grossophobie, Religion;🔴;
♥️;mikouyasmina;Soutiens;🆗;♥️
"Воплощение пороков человечества пыталось изобразить Христа и теперь жалуется, что человечество недовольно. """"Настанет время, когда больные скажут здоровому - Ты болен больше других, потому что не похож на нас"""" © преподобный Антоний Великий";milaspaty;Critique, Religion;🆗;"""L'incarnation des vices de l'humanité a tenté de représenter le Christ et se plaint maintenant que l'humanité est mécontente. 'Viendra le temps où les malades diront aux bien-portants - Vous êtes plus malade que nous, parce que vous n'êtes pas comme nous.'"" (Citation d'Antoine le Grand)"
Une vraie déesse ❤️❤️❤️❤️ 👑👑;miliebulle_;Soutien;🆗;N/A
♥️♥️♥️♥️♥️;mimik_arte;Soutien;🆗;N/A
🔥🔥;minora.flamingo;Soutien;🆗;-
Is this a normal person?;misomlakic;Insulte;🆗;"""C'est une personne normale ?"""
Vous êtes magnifique 🤩 ❤;missartpla;Soutiens;🆗;—
Fucking fake dj that what you are! you fucking sucks AF! look at you first before u said you are a DJ!🤣😭🤦🏻‍♂️;missmoniqueworldwide;Dénigrement;🔴;Espèce de fausse DJ ! Tu es vraiment nulle ! Regarde-toi avant de te dire DJ !
♥️;mitraphotographybnw;Soutien;🆗;
Les américains en PLS vous êtes vraiment de drôles de personnes;mjjlw1985;Moquerie;🆗;N/A
❤️❤️❤️;mmcalbraith;Soutien;🆗;Cœurs (soutien).
You’re going in my suicide note;mntain;Menace, Suicide;🔴;Tu seras dans ma lettre de suicide.
Find god demon;mntain;Religion, Insulte;🆗;Trouve Dieu, démon.
👑👑👑🔥🔥🔥;mo_laudi;Soutiens;🆗;—
🦛🦛🦛🦛😂😂😂😂😂😂;mohamedrazhi;Grossophobie;🆗;"""Émojis d'hippopotames et rires."""
❤️;monaachache;Soutien;🆗;N/A
Aconselho dieta e atividade física...;monialucias;Grossophobie, Religion;🆗;Je te conseille un régime, de l'exercice et un bon thérapeute.
Lastimável. Com Deus não se brinca...;monialucias;Religion;🆗;C'est triste. On ne joue pas avec Dieu. J'espère que tu te repentiras.
Vc sabia que tem uma alma?...;monialucias;Religion;🆗;Savais-tu que tu as une âme immortelle ? Repens-toi, on ne joue pas avec Dieu.
O verdadeiro Rei 👑Jesus Cristo...;monialucias;Religion;🆗;Le vrai roi, Jésus-Christ, sauveur du monde.
🔥🔥🔥🔥🔥arrependa se;monialucias;Religion;🆗;Feu, repens-toi.
Bella!!! ♥️;monicajiao77;Soutien;🆗;Belle !
TASPÉ DE TON ÉTAT;monkamdaniel;Insulte, Vulgarité;🆗;Sale prostituée.
Jesus Gagne toujours 🙏🏼🤲🏼;monkamdaniel;Religion;🆗;Jésus gagne toujours.
❤️❤️❤️❤️👏👏👏👏;monsieur_gonzalez;Soutien;🆗;-
J'espère que toute cette haine...;moon.bailly;Soutien;🆗;
👑🔥;moon.jln;Soutien;🆗;
I hope that an excess weight tax will be introduced.;moostapha88;Harcèlement, Grossophobie;🔴;
can you even dance yourself;mprogy42;Insulte;🆗;Sais-tu vraiment danser toi-même ?
taik palat;mr.kengoh;Harcèlement, Vulgarité;🔴;
Une reine 👑😍♥️♥️♥️♥️;mr.rose.hairdresser;Soutien;🆗;
👑🔥;mr_klinkart;Soutien;🆗;N/A
♥️♥️♥️;museumoferwan;Soutien;🆗;N/A
❤️❤️❤️❤️;mynameis.charlotte;Soutien;🆗;
💙🔥💙🔥💙🔥💙;mynameisdjessydenuit;Soutien;🆗;-
Shame on you. You know exactly what you did. I believe you only did this so you can play victim;mzdonnahanna;Harcèlement;🔴;"""Honte à toi. Tu sais exactement ce que tu as fait. Je pense que tu as fait cela juste pour te faire passer pour une victime."""
❤️;mzl.sandra;Soutien;🆗;N/A
❤️;n0ela;Soutiens;🆗;—
🔥;n0ela;Soutiens;🆗;—
🖕🏽🖕🏽🖕🏽🖕🏽;nachefe__;Haine;🔴;
Al colesterol le gusta tu foto;nachete913;Moquerie;🆗;"""Le cholestérol aime ta photo."""
👏👑;nadia_rchrt;Soutien;🆗;N/A
Que la force et l'amour soient avec toi;nadia25etcie;Soutien;🆗;
Beauty 👑;nadine_nieszawer;Soutiens;🆗;Beauté 👑
Sending some love here 👑👑👑;nana_sngs;Soutien;🆗;
🔥🔥🔥;nassirafeghoul;Soutien;🆗;
W🔥W! You are a STAR ❤️;natali_hagai;Soutien;🆗;"""WAW! Tu es une star !"""
Barbara, ♥️♥️♥️!;natcatek;Soutiens;🆗;
You are amazing !🔥;nathalie_homs;Soutien;🆗;Tu es incroyable !
Je suis effarée des messages que vous recevez !!! Comment peux t on osé écrire des insanités et des idioties pareilles?!! Je vous apporte tout mon soutien, je pense très fort à vous et je veux juste vous dire que cette cérémonie m à rendue très fière d être française!! Un grand merci à vous😍 continuez à être fière de qui vous êtes!!!;nathaliegleyze;Soutien;🆗;N/A
♥️♥️♥️;nathaliemasduraud;Soutien;🆗;
✨;natsuki_chidoya;Soutien;🆗;-
Thank you Barbara you were amazing 😍✨🤍👑;nawelbetty;Soutien;🆗;N/A
Jesus ia king👑✨;neideee.alves;Religion;🆗;"""Jésus est roi."""
❤️❤️❤️;new_sooke_radio;Soutiens;🆗;
Romanos 14:11 @barbarabutch;new_storebr;Religion;🆗;"""Romains 14:11 @barbarabutch."""
I wish you success as you find a cure for the disease and infection you are pushing on others.;nhra4457;Psychophobie;🆗;"""Je te souhaite de trouver un remède pour la maladie et l'infection que tu propages."""
🐋;nickk.bk;Grossophobie;🆗;-
I believe I adore and I love you...;nico_ujih;Religion;🆗;Je crois que je t'adore et je t'aime, je demande pardon pour ceux qui ne croient pas, n'adorent pas et n'aiment pas. Seigneur, aie pitié de nous.
Légendaire 🤩♥️;nicoco1984;Soutien;🆗;
❤️👑♥️👏😍;nicolasvlaemynckparis;Soutien;🆗;N/A
QUEEN 💗;nicostarmoricain;Soutien;🆗;N/A
On t'aime 👑👑👑♥️♥️♥️;nienalouis;Soutien;🆗;-
Olympic KFC games 😂;nihilregime;Grossophobie;🆗;Jeux olympiques du KFC.
💙💙💙💙💙;niki.galopine;Soutiens;🆗;💙💙💙💙💙
Stop mocking the cristian religion and lose some weight its best for you 卍卍卍卍卍卍卍卍卍卍卍卍;nikos_meserdis2;Grossophobie, Religion;🔴;"""Arrête de te moquer de la religion chrétienne et perds du poids, c'est mieux pour toi."""
disgusting ... 0 respect;nikosden;Insulte;🆗;Dégoutant ... 0 respect
👑✝️👑🙏🏻💯💯💯💯💯JESUS CHRIST IS GOD...;nineveh_nano;Religion, Violence;🔴;Jésus-Christ est Dieu, Roi, Seigneur et Sauveur. Tu devrais te repentir de ton comportement dégoûtant !
👑👑👑;nitellas;Soutien;🆗;N/A
The Real evil !!!;noa.t.rex;Harcèlement, Religion;🔴;"""Le vrai mal !!!"""
Child repent and come to christ;noel.koy;Religion;🆗;Enfant, repens-toi et viens à Christ.
You’re beautiful ❤️❤️❤️;noelecontreras;Soutiens;🆗;Tu es magnifique ❤️❤️❤️
❤️;noemie_juliette_;Soutien;🆗;N/A
Disgusting she is a sign that God doesn't love us anymore;notmyronperreiraa;Harcèlement, Religion;🔴;"""Dégoûtante, elle est le signe que Dieu ne nous aime plus."""
Love cholesterol 💕;ntdrvsk;Grossophobie;🔴;
Increíble actuación!!!...;nuriakitty;Soutien, Ironie;🆗;Performance incroyable !!! J'ai hâte de voir ta prochaine prestation sur l'Islam, car tu es si courageuse...
Appolon ! Vous etes belle Barbara. J'ai aimé ce coeur là.;offlof;Soutien;🆗;"""Apollon ! Tu es belle Barbara. J'ai aimé ce cœur là."""
Vous êtes complètement perdu…;olejmarie;Critique;🆗;N/A
Merci❤️❤️❤️❤️ 👑;olignylouise;Soutien;🆗;
What sport you represent???;omar_joss;Question;🆗;"""Quel sport représentes-tu ???"""
Ну и мерзость! Как может этот человек принимать участие в открытии Олимпиады. Она вообще ничего общего со спортом не имеет.;operko851;Critique;🆗;"""Quelle horreur ! Comment cette personne peut-elle participer à la cérémonie d'ouverture des JO ? Elle n'a rien à voir avec le sport."""
God's Gonna Take you Down!!!;opropriojd;Alerte (menace);🔴;Dieu va te faire tomber !!!
Vous étiez magnifique...à votre place ❤️;oranebis;Soutiens;🆗;—
💕💕💕;ore.v;Soutien;🆗;
Jabba The Hutt With Stupid Propaganda Agenda 🖕🏼;otnaydelesol;Grossophobie, Insulte;🔴;Jabba le Hutt avec une stupide propagande 🖕🏼
💩💩💩💩💩💩💩;oxy.protecaoanimal;Harcèlement;🆗;"""Caca."""
🍔;panda42o69;Grossophobie;🆗;- (référence à un burger, sous-entendu sur le poids)
Hermosa❤️❤️❤️❤️;paolayoss17;Soutien;🆗;Belle.
DJ PEPAPIG;parra__munoz;🆗;🆗;—
♥️♥️♥️;patricklaffontdelojo;Soutien;🆗;-
La Queen. Incroyable 👑❤️;paul.mau;Soutien;🆗;La reine. Incroyable.
Ну в принципе типичная представительница Европы) хотя и за украинку бы сошла);pavelmakarovvv;Moquerie;🆗;Eh bien, typique représentante de l'Europe) elle pourrait aussi passer pour une Ukrainienne)
What the fuck?;pawan_preet007;Vulgarité;🆗;"""C’est quoi ce bordel ?"""
La queen 👑👏...;pawseome;Soutien;🆗;La reine, les haters ne feront rien. Force à toi.
💀;pedrofernandezsalvador;Insulte;🆗;-
